FlareClass,Flare Date,AR,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,TOTFZ,MEANPOT,R_VALUE,EPSZ,SHRGT45
C19,9/1/2012 0:10,11553,1388.86,25460000000,2.91E+23,3.02271E+13,412.502,1.59514E+13,2.12E+22,508.244,-3778.4,6043.1,4.309,-0.2815,26.482
C11,9/2/2012 0:10,11553,1493.65,28505000000,2.90E+23,2.86874E+13,398.671,1.09422E+13,2.48E+22,559.287,-5531.7,5550.68,4.303,-0.3681,21.929
C17,8/25/2012 0:10,11554,684.895,11087000000,1.65E+23,1.59929E+13,108.878,5.27541E+12,7.95E+21,365.562,-343.34,8433.42,3.96,-0.0587,49.643
C15,8/30/2012 0:10,11554,1054.2,12723000000,1.47E+23,1.8929E+13,453.732,1.68487E+13,1.21E+22,323.093,-1907.2,5765.54,4.327,-0.2844,18.498
C84,8/31/2012 0:10,11560,990.419,12819000000,2.08E+23,1.92905E+13,519.629,2.43099E+13,8.37E+21,345.62,167.87,10517.3,4.268,0.0248,52.83
C55,9/2/2012 0:10,11560,1707.74,22094000000,3.75E+23,3.73738E+13,484.893,1.35748E+13,1.49E+22,698.384,-315.17,9294.99,4.456,-0.0271,55.702
C13,9/3/2012 0:10,11560,1813.1,23263000000,3.84E+23,3.64345E+13,657.431,1.83492E+13,1.69E+22,750.53,-945.6,9573.63,4.295,-0.0771,48.979
C11,9/5/2012 0:10,11560,1268.85,17896000000,2.01E+23,3.04032E+13,357.116,1.63238E+13,1.92E+22,592.599,-2719.7,4346.81,4.243,-0.2883,26.946
C18,9/6/2012 0:10,11560,1302.25,19530000000,1.69E+23,2.79529E+13,301.272,1.25829E+13,2.36E+22,518.373,-4337.8,3205.09,3.857,-0.4213,16.11
C13,9/7/2012 0:10,11562,1371.38,32374000000,2.69E+23,3.1405E+13,74.164,1.31217E+12,2.44E+22,711.599,-5159.5,4935.6,4.116,-0.3023,23.61
C11,9/11/2012 0:10,11567,222.167,3535200000,1.31E+22,5.30064E+12,15.599,2.62127E+12,2.71E+21,285.592,-33.868,1911.22,2.806,-0.0182,11.871
C17,9/9/2012 0:10,11568,196.138,2066800000,1.73E+22,5.76004E+12,32.993,3.65178E+12,1.56E+21,81.1599,-27.525,3160.51,3.459,-0.0253,43.882
C35,9/11/2012 0:10,11569,936.92,17342000000,1.50E+23,1.72985E+13,30.894,2.16983E+12,1.61E+22,388.675,-3227.3,4674.28,4.038,-0.353,19.319
C10,9/25/2012 0:10,11573,587.196,9387000000,4.81E+22,1.61669E+13,17.689,3.1367E+12,9.04E+21,315.19,-1149.8,1954.94,2.845,-0.2323,16.135
C10,9/20/2012 0:10,11574,317.244,5605300000,2.77E+22,6.3236E+12,41.928,1.10485E+12,4.64E+21,111.148,-1043.2,2804.77,3.528,-0.353,13.958
C36,9/25/2012 0:10,11577,1920.28,37805000000,3.57E+23,4.56068E+13,177.928,2.71969E+12,2.32E+22,1611.67,966.79,6047.8,3.694,0.0485,32.161
C15,10/10/2012 0:10,11585,803.859,13666000000,1.92E+23,1.94498E+13,200.525,7.57216E+12,1.13E+22,462.074,-1122.5,7658.56,4.096,-0.1558,36.809
C11,10/17/2012 0:10,11589,1402.01,14604000000,1.17E+23,3.48906E+13,98.937,4.71004E+12,1.64E+22,1353.44,-1838.6,2718.39,3.789,-0.2388,22.842
C19,10/19/2012 0:10,11589,1490.76,18691000000,1.29E+23,3.79638E+13,44.064,1.86198E+12,2.72E+22,1033.3,-4364.8,2005.11,3.354,-0.443,12.125
C30,10/23/2012 0:10,11593,747.326,12319000000,4.15E+22,1.96918E+13,95.799,4.69553E+12,9.45E+21,893.715,-82.999,1693.96,2.818,-0.0128,11.427
C17,10/19/2012 0:10,11594,1293.13,17209000000,8.89E+22,3.2756E+13,84.551,8.79489E+12,2.20E+22,964.259,-2836.6,1644.13,3.258,-0.3127,7.838
C78,10/21/2012 0:10,11596,1859.33,38198000000,5.24E+23,4.42288E+13,48.668,2.12945E+12,3.27E+22,1030.5,-4374.4,7263.31,4.182,-0.2172,31.644
C15,10/26/2012 0:10,11596,1034.95,22451000000,3.34E+23,2.80521E+13,5.102,3.17565E+12,1.49E+22,870.728,-446.35,9076.12,3.605,-0.0377,48.543
C43,11/14/2012 0:10,11611,932.555,20678000000,3.24E+23,2.26388E+13,137.97,8.74805E+12,1.27E+22,656.458,161,10098.3,3.784,0.0148,55.176
C13,11/14/2012 0:10,11613,1614.43,43132000000,2.59E+23,3.54948E+13,473.982,2.20495E+13,2.56E+22,705.792,-4906.5,4390.02,4.037,-0.2158,17.889
C10,11/15/2012 0:10,11613,1424.06,35791000000,2.22E+23,3.57336E+13,276.264,1.49589E+13,2.37E+22,870.851,-2467,3765.6,3.773,-0.1307,18.34
