Flare Class,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,TOTFZ,MEANPOT,R_VALUE,EPSZ,SHRGT45
C,4040.81,66763000000,1.10875e+24,73492800000000,35.604,5958150000000,4.89211e+22,1576.74,-7002.4,12042.5,4.933,-0.1989,40.723
C,224.519,7686600000,1.14902e+23,5950380000000,19.293,2126520000000,4.0112e+21,244.718,120.53,12409.6,2.126,0.0297,51.979
C,1162.73,18795000000,3.05808e+23,24938400000000,136.818,8000310000000,1.26475e+22,633.024,-873.83,10682.9,3.983,-0.0882,50.109
C,253.756,5681400000,3.02616e+22,5100570000000,56.111,1634150000000,3.4268e+21,91.4667,-531.19,4387.94,3.55,-0.1773,24.36
C,584.788,18910000000,4.11167e+22,14148200000000,38.993,1804330000000,1.33895e+22,310.25,-3972.5,1320.05,3.096,-0.3985,3.01
C,1122.62,20644000000,1.53542e+23,21867600000000,260.483,13935500000000,1.70781e+22,377.544,-3956.2,4629.06,4.27,-0.3635,17.245
C,749.699,10757000000,4.91523e+22,18678500000000,196.34,8128240000000,1.08999e+22,545.753,-1020.6,1699.94,3.474,-0.18,9.641
C,601.509,13932000000,2.31173e+23,15511200000000,98.957,573341000000,9.52461e+21,425.692,-531.16,9730.05,2.5,-0.0723,47.149
C,907.566,13859000000,2.22658e+23,18806000000000,216.808,7799540000000,1.04598e+22,435.911,-859.87,9935.31,4.079,-0.1177,46.519
C,1035.04,17729000000,1.33311e+23,23509100000000,217.822,6423100000000,1.19906e+22,598.752,132.07,4555.96,4.11,0.0141,24.323
C,786.338,15138000000,9.32444e+22,15494100000000,9.73,2035760000000,1.46492e+22,418.224,-3243.2,3180.6,3.675,-0.4064,11.094
C,1302.25,19530000000,1.692e+23,27952900000000,301.272,12582900000000,2.3643e+22,518.373,-4337.8,3205.09,3.857,-0.4213,16.11
C,719.485,15299000000,1.30815e+23,19832100000000,35.071,830161000000,1.27389e+22,374.577,-1746.8,4021.82,3.446,-0.2166,23.355
C,1054.2,12723000000,1.47357e+23,18929000000000,453.732,16848700000000,1.21358e+22,323.093,-1907.2,5765.54,4.327,-0.2844,18.498
C,4553.1,61924000000,9.2021e+23,103411000000000,188.818,14295200000000,5.02523e+22,2875.85,-3224.5,7423.06,4.625,-0.0988,41.788
C,626.737,23978000000,8.27382e+22,13175000000000,84.853,3894520000000,1.18256e+22,317.962,-4132.9,3319.52,3.768,-0.327,12.393
C,853.691,17676000000,1.02384e+23,18995400000000,43.677,2207470000000,1.95578e+22,342.267,-4383.9,2394.3,3.559,-0.4705,9.913
C,1260.15,22420000000,3.96938e+23,28278800000000,19.381,7026500000000,1.47865e+22,575.3,-837.03,12251.6,4.413,-0.0708,52.75
C,3866.61,66452000000,7.56264e+23,90302000000000,380.73,16302500000000,5.22498e+22,2373.28,-4115.3,6263.97,4.527,-0.1175,30.084
C,342.177,5385200000,3.30893e+22,7740940000000,81.987,2507430000000,3.90013e+21,152.813,-556.58,3547.24,3.718,-0.1961,27.292
C,1154.39,18023000000,2.79567e+23,25874300000000,151.611,6682580000000,1.30341e+22,538.576,-697.25,9479.02,4.042,-0.0734,51.49
C,2105.2,45959000000,3.47981e+23,47298600000000,257.745,13895200000000,3.25487e+22,1132.26,-3947.6,4907.58,4.306,-0.1629,24.841
C,939.359,11088000000,1.61925e+23,18035300000000,263.122,4696110000000,8.92176e+21,483.42,-1022.1,8553.3,3.962,-0.1749,42.792
C,2107.56,41319000000,5.91949e+23,49117500000000,8.696,6035180000000,2.88855e+22,1365.02,-1918.6,9413.32,4.017,-0.0881,43.718
C,421.875,5206000000,3.99375e+22,8764570000000,12.898,1683590000000,4.8763e+21,179.025,-794.04,3834.3,3.298,-0.2893,20.235
C,912.643,11452000000,9.71431e+22,21944900000000,38.079,2860760000000,1.21465e+22,603.429,-1300.3,3266.39,3.773,-0.2154,19.161
C,2186.82,30333000000,4.40447e+23,44276600000000,407.606,13237200000000,1.92482e+22,957.641,-1242.3,10357.9,4.375,-0.0777,48.827
C,915.275,16958000000,1.23372e+23,19609800000000,331.986,16818600000000,9.49901e+21,334.485,-1412.8,5553.43,4.082,-0.158,29.214
C,3620.87,69522000000,6.51114e+23,84953500000000,229.59,12573000000000,6.08258e+22,2013.28,-8211.7,4872.74,4.259,-0.2241,20.948
C,1419.96,20810000000,1.75043e+23,32018300000000,84.586,6846170000000,1.84114e+22,667.607,-2001.7,3906.61,4.229,-0.1825,18.293
C,2053.07,30776000000,2.56303e+23,48329700000000,226.712,12593200000000,3.65627e+22,1007.71,-6468.5,2923.07,4.004,-0.3987,14.537
C,826.264,11859000000,9.88186e+22,19580900000000,76.474,3107260000000,1.33875e+22,433.701,-2256.4,3324.21,3.717,-0.3609,17.999
C,436.263,7555100000,1.12785e+23,10451700000000,12.464,1056600000000,4.62165e+21,181.663,-210.84,10440.8,3.611,-0.0529,52.901
C,640.699,10633000000,9.59211e+22,13203700000000,102.108,2920190000000,7.30115e+21,498.142,-576.69,6304.21,3.612,-0.1029,30.837
C,2213.91,41388000000,4.7504e+23,54695000000000,464.881,17582500000000,3.55076e+22,1135.31,-3962.1,5866.61,4.248,-0.1816,28.195
C,413.538,9936600000,9.65041e+22,8885980000000,96.491,1865640000000,6.6411e+21,269.891,-967.44,7051.56,3.202,-0.1847,28.637
C,3033.4,48785000000,7.81435e+23,58329500000000,482.38,8832280000000,3.23491e+22,1321.16,-3112.8,11821.9,4.573,-0.121,49.386
C,1566.89,26066000000,1.6455e+23,44429300000000,49.615,4832770000000,2.85612e+22,1095.77,-3009.4,2146.38,3.589,-0.219,13.346
C,1448.27,20074000000,1.37986e+23,36518900000000,74.692,1940440000000,2.72759e+22,809.698,-4626.3,2088.64,3.861,-0.4371,13.209
C,1087.13,17705000000,2.22946e+23,21480000000000,183.002,7865280000000,1.27279e+22,350.707,-1818.6,8562.01,4.171,-0.1948,33.1
C,2633.57,43175000000,2.95463e+23,57504300000000,202.459,10829400000000,3.70945e+22,1901.27,-5300.7,3560.7,4.442,-0.2329,15.612
C,2422.54,28678000000,3.08886e+23,54204000000000,411.535,12795700000000,2.66076e+22,1583.03,-2038.1,4846.47,4.228,-0.1348,27.347
C,1577.95,24846000000,2.67636e+23,36837000000000,51.779,1422190000000,2.32706e+22,686.46,-3121.4,5077.77,4.077,-0.2383,26.086
C,233.493,4382000000,1.94125e+22,4113530000000,43.644,2168580000000,3.02727e+21,68.86,-898.58,3286.27,3.521,-0.389,12.32
C,1186.15,22041000000,1.40705e+23,23816000000000,197.109,11110200000000,1.77033e+22,545.542,-4023.8,3793.79,4.037,-0.3463,15.619
C,570.932,7498500000,6.62226e+22,13559200000000,10.524,969030000000,6.72824e+21,439.514,-652.23,3922.96,3.144,-0.165,28.228
C,793.83,15277000000,5.32782e+22,19614500000000,25.13,4403690000000,1.08969e+22,670.627,-1016.7,2024.62,3.366,-0.1262,10.79
C,731.581,19415000000,1.29582e+23,15813400000000,83.688,2133060000000,1.20844e+22,478.248,-2370.3,5174.13,3.275,-0.2316,19.901
C,1751.14,26773000000,1.5341e+23,36801700000000,110.352,11433000000000,2.40968e+22,924.69,-4784.9,2971.85,4.144,-0.339,13.656
C,2106.75,26989000000,2.70964e+23,45637500000000,423.453,19178100000000,2.20962e+22,1228.04,-1606.3,5275.84,4.289,-0.1129,29.108
C,2884.17,86466000000,7.03125e+23,61966400000000,20.729,2346930000000,4.77774e+22,1971.83,-8617.7,7100.91,4.162,-0.1891,25.083
C,1096.78,19007000000,9.95774e+22,22854300000000,57.758,944048000000,1.38261e+22,919.237,-1498.3,3400.48,4.082,-0.1495,12.658
C,974.83,21174000000,1.3635e+23,17120500000000,208.152,11176100000000,1.43834e+22,1120.08,-2166.7,5343.22,3.745,-0.1941,15.774
C,1691.18,25882000000,3.40424e+23,40755600000000,195.509,7922230000000,2.8118e+22,928.227,-3788.3,5174.92,4.231,-0.2776,27.563
C,1030.38,18377000000,1.94405e+23,19503200000000,44.663,2028920000000,1.60954e+22,464.566,-2918.9,6409.67,3.923,-0.3013,23.286
